Region,Load,TR
MISO,75449.8,0.098622273
MISO,75442.33,0.098737084
MISO,75433.56,0.098851894
MISO,75429.12,0.098966705
MISO,75421.7,0.099081515
MISO,75418.5,0.099196326
MISO,75415.56,0.099311137
MISO,75413.52,0.099425947
MISO,75406.64,0.099540758
MISO,75403.2,0.099655568
MISO,75374.5,0.099770379
MISO,75362,0.099885189
MISO,75359.35,0.1
MISO,75333.12,0.100114811
MISO,75329.8,0.100229621
MISO,75326.71,0.100344432
MISO,75323.3,0.100459242
MISO,75322.72,0.100574053
MISO,75313,0.100688863
MISO,75311.27,0.100803674
MISO,75304.93,0.100918485
MISO,75299.9,0.101033295
MISO,75298.15,0.101148106
MISO,75297.9,0.101262916
MISO,75284.79,0.101377727
MISO,75280.85,0.101492537
MISO,75270.01,0.101607348
MISO,75269.88,0.101722158
MISO,75265.5,0.101836969
MISO,75250.5,0.10195178
MISO,75250.3,0.10206659
MISO,75249.7,0.102181401
MISO,75242.86,0.102296211
MISO,75238.6,0.102411022
MISO,75237.5,0.102525832
MISO,75226.71,0.102640643
MISO,75221.02,0.102755454
MISO,75215.7,0.102870264
MISO,75212.77,0.102985075
MISO,75204.92,0.103099885
MISO,75196.8,0.103214696
MISO,75195.55,0.103329506
MISO,75195.47,0.103444317
MISO,75188.78,0.103559127
MISO,75185.8,0.103673938
MISO,75184.5,0.103788749
MISO,75177.11,0.103903559
MISO,75175.03,0.10401837
MISO,75173.36,0.10413318
MISO,75170.3,0.104247991
MISO,75162.7,0.104362801
MISO,75146.54,0.104477612
MISO,75145.5,0.104592423
MISO,75132.74,0.104707233
MISO,75119.29,0.104822044
MISO,75116.6,0.104936854
MISO,75101.1,0.105051665
MISO,75098.6,0.105166475
MISO,75098.47,0.105281286
MISO,75092.8,0.105396096
MISO,75081.25,0.105510907
MISO,75071.1,0.105625718
MISO,75067.94,0.105740528
MISO,75045.35,0.105855339
MISO,75040.85,0.105970149
MISO,75034.8,0.10608496
MISO,75028.39,0.10619977
MISO,75020.91,0.106314581
MISO,75013.1,0.106429392
MISO,75012.2,0.106544202
MISO,75010.05,0.106659013
MISO,75007.83,0.106773823
MISO,75004.8,0.106888634
MISO,75003.1,0.107003444
MISO,75000.8,0.107118255
MISO,74992.8,0.107233065
